extracted genus,extracted species,extracted/literature/genus,actual species,actual genus,genbank version number,voucher,sequence length
Verbascum,litigiosum,genus,Verbascum,carmanicum,MH885332.1,"26011-TUH",866
Verbascum,sinuatum,genus,Verbascum,x,MK520795.1,"v0261643WIS",798
Verbascum,virgatum,extracted,Verbascum,virgatum,HM850966.1,"BM 2008/549",819
Odontitella,virgata,extracted,Odontitella,virgata,JF900572.1,"M:15513",1054
Colchicum,libanoticum,literature,Colchicum,szovitsii,KX139875.1,"C6105",867
Colchicum,stevenii,extracted,Colchicum,stevenii,KX139867.1,"C0716",860
Clintonia,andrewsiana,genus,Clintonia,borealis,MK519933.1,"v0208108WIS",782
Clintonia,borealis,genus,Clintonia,udensis,MH659844.1,"Q424",778
Fritillaria,alfredae,genus,Fritillaria,montana,LM993092.1,"Chase 24342 K",1218
Fritillaria,crassifolia,genus,Fritillaria,usuriensis,LM993128.1,"Chase 31572 K",1247
Gagea,peduncularis,genus,Gagea,lutea,AB017329.1,,1121
Lillium,martagon,literature,Lilium,martagon,KF850801.1,"Em003",786
Tulipa,aucheriana,extracted,Tulipa,aucheriana,HF953068.1,"K:Chase 6111",922
Tulipa,montana,extracted,Tulipa,montana,HF953076.1,"K:Chase 6112",914
Hypercium,hircinum,literature,Hypericum,hircinum,HQ331626.1,"AAU:J. Christiansen s.n.",1018
Hypericum,balearicum,genus,Hypericum,kalmianum,HQ331627.1,"A:C.C. Davis s.n.",1110
Hypericum,barbatum,genus,Hypericum,perforatum,HQ331630.1,"A:Ruhfel s.n.",1109
Hypericum,thymifolium,genus,Hypericum,tetrapterum,HQ331631.1,"AAU:J. Christiansen s.n.",1022
Turnera,aurelii,genus,Turnera,odorata,AB536654.1,"MO:Bono 4887",1206
Turnera,campaniflora,genus,Turnera,aromatica,AB536653.1,"MO:Huston 0552",1206
Populus,nigra,extracted,Populus,nigra,KX229958.1,"OMHA42M",851
Populus,tremula,extracted,Populus,tremula,MH659827.1,"Q407",812
Salix,caprea,extracted,Salix,caprea,KX229989.1,"OMHD32M",851
Salix,elaeagnos,extracted,Salix,elaeagnos,KM002120.1,"SALIX191_08_07_UBCBG_013854_0013_1976",889
Salix,purpurea,extracted,Salix,purpurea,MG221132.1,"BC-2011-36098",824
Viola,beckiana,genus,Viola,philippica,AB354508.1,"KYO:Tokuoka 303",1203
Viola,riviniana,extracted,Viola,riviniana,KJ747843.1,"LPA 20835",870
Helianthemum,ledifolium,genus,Helianthemum,obscurum,KU519702.1,"WU Botanical Garden 273",825
Helianthemum,scopulorum,genus,Helianthemum,nummularium,JN895671.1,,796
Malva,neglecta,extracted,Malva,neglecta,HQ593360.1,"AP213",774
Daphne,mezereum,extracted,Daphne,mezereum,JN894977.1,,823
Thymelaea,velutina,genus,Thymelaea,hirsuta,EU002191.1,"M. W. Chase 1882 (K)",999
Accara,elegans,extracted,Accara,elegans,MF954518.1,"Vasconcelos 485",803
Blepharocalyx,salicifolius,extracted,Blepharocalyx,salicifolius,JN661035.1,"Negritto 927 (CONC)",1060
Calyptranthes,brasiliensis,genus,Calyptranthes,sp.,MH024706.1,"6821",880
Calyptranthes,lucida,genus,Calyptranthes,concinna,AM489980.1,"Lucas 74 (K)",843
Calyptranthes,sp1,genus,Calyptranthes,grandifolia,JN091302.1,"Lucas, 122",832
Calyptranthes,sp2,genus,Calyptranthes,clusiifolia,MG718811.1,"ESA:91779",823
Campomanesia,adamantium,genus,Campomanesia,sp.,MH024656.1,"6465",860
Campomanesia,pubescens,genus,Campomanesia,guazumifolia,AM489982.1,"Belsham M86 (K)",836
Eugenia,hyemalis,genus,Eugenia,mespiloides,KU945994.1,"NSW:891691",886
Eugenia,multicostata,genus,Eugenia,copacabanensis,MG718647.1,"ESA:109444",858
Eugenia,punicifolia,genus,Eugenia,uniflora,AM489986.1,"Lucas 207 (K)",838
Gomidesia,affinis,genus,Gomidesia,flagellaris,AM489989.1,"Lucas 83 (K)",847
Gomidesia,schaueriana,extracted,Gomidesia,schaueriana,AM489988.1,"Lucas 62 (K)",847
Pimenta,pseudocariophyllus,literature,Pimenta,pseudocaryophyllus,AM490013.1,"Lucas 161 (K)",816
Circaea,lutetiana,extracted,Circaea,lutetiana,MK925793.1,"NMW7852",880
Oxalis,articulata,extracted,Oxalis,articulata,HM851016.1,"BM 2008/363",813
Oxalis,"Betete",genus,Oxalis,corymbosa,MF159433.1,"Li ZY, Xiang XG, Xu SZ 201509151",1107
Oxalis,"Cuervos",genus,Oxalis,oregana,MF963536.1,"JEPS103673(HV)",898
Oxalis,floribunda,genus,Oxalis,corniculata,KY584309.1,"MO Doan 1677",831
Oxalis,pes-caprae,extracted,Oxalis,pes-caprae,HM851020.1,"BM 2008/320",813
Juniperus,communis,extracted,Juniperus,communis,EU749466.1,"OAC:RS149",808
Abies ,alba,extracted,Abies,alba,HQ619823.1,,831
Cedrus,libani,genus,Cedrus,deodara,KP089000.1,"BOP010415",774
Picea,abies,extracted,Picea,abies,JX508298.1,"J.M. Aleksic 1002 (M)",945
Picris,hieracioides,extracted,Picris,hieracioides,AJ633229.1,"GAT-bg127",964
Picris,hispidissima,genus,Picris,squarrosa,DQ451736.1,"Holzapfel 14a & Cunningham (4)",887
Pinus,brutia,extracted,Pinus,brutia,KP089952.1,"BOP017802",789
Pinus,nigra,extracted,Pinus,nigra,KP089195.1,"BOP010406",774
Pinus,sylvestris,extracted,Pinus,sylvestris,KX229948.1,"OMHD20M",833
Aristolochia,bianorii,genus,Aristolochia,zollingeriana,AB071817.1,"SETS80 (TI)",1200
Asarum,europaeum,genus,Asarum,yakusimense,AB060737.1,"J. Murata s. n. (TI)",1203
Carex,rorulenta,genus,Carex,turbinata,MN763025.1,"MICH.1132687",815
Agrostis,imbecilla,genus,Agrostis,capillaris,JX438069.1,"UZ 299.07",1244
Agrostis,magellanica,genus,Agrostis,curtisii,KJ529329.1,"UZ 314.07",969
Agrostis,muelleriana,genus,Agrostis,stolonifera,KJ529328.1,"UZ 300.07",969
Agrostis,personata,genus,Agrostis,gigantea,KX873197.1,"NMNH:US (R.J. Soreng, D. Johnson, S. Shuvalov, V. Chapurin, K. & A. Samsaliev 7550)",863
Aegilops,neglecta,extracted,Aegilops,neglecta,EU013165.1,"JM-3748",1157
Agropyron,cristatum,extracted,Agropyron,cristatum,JX438066.1,"UZ 134.07",1226
Amphibromus,fluitans,genus,Amphibromus,pithogastrus,KX873223.1,"MELU:2028360 (Clarke, I.C. 2535)",876
Anthoxanthum,alpinum,extracted,Anthoxanthum,alpinum,KX873228.1,"KRAM:559879 (B. Paszko s.n., sample GPS                     225)",870
Anthoxanthum,amarum,genus,Anthoxanthum,odoratum,JX438072.1,"UZ 287.07",1240
Anthoxanthum,gracile,genus,Anthoxanthum,nitens,KF713080.1,"HCCN-PJ008548-PB-379",1014
Arundo,donaciformis,genus,Arundo,donax,KJ880088.1,"LVZOU5",876
Australopyrum,calcis,genus,Australopyrum,retrofractum,KP210647.1,"BOP022806",888
Austrostipa,stipoides,genus,Austrostipa,densiflora,KX290960.1,"ww20008",903
Bouteloua,gracilis,extracted,Bouteloua,gracilis,MF597192.1,"07-JMS-1004",819
Brachiaria,ramosa,extracted,Brachiaria,ramosa,MH767869.1,"LSC124",809
Bromus,arenarius,genus,Bromus,remotiflorus,KM538791.1,"YDK2008452",1091
Bromus,pannonicus,genus,Bromus,tectorum,KF713105.1,"HCCN-PJ008548-PB-395",1014
Bromus,sterilis,extracted,Bromus,sterilis,HM770812.1,"OSA420",820
Cenchrus,caliculatus,genus,Cenchrus,purpurascens,MH025140.1,,795
Cenchrus,ciliaris,extracted,Cenchrus,ciliaris,MF694838.1,"KMC030",771
Chionochloa,antarctica,genus,Chionochloa,flavescens,EU400994.1,"CHR 475418 (BOL)",869
Cortaderia,fulvida,genus,Cortaderia,selloana,KM538804.1,"J.H.Lee 2010471",1062
Cortaderia,richardii,genus,Cortaderia,columbiana,EU401011.1,"Lyle, M. 920 (HBG, BOL)",867
Cynodon,dactylon,extracted,Cynodon,dactylon,KP056930.1,"KOSPVP0000102375",1020
Dactylis,glomerata,extracted,Dactylis,glomerata,KF713137.1,"HCCN-PJ008548-PB-276",1014
Deschampsia,cespitosa,extracted,Deschampsia,cespitosa,KJ529352.1,"UZ 305.07",969
Deschampsia,tenella,literature,Avenella,flexuosa,JX438083.1,"UZ 313.07",1228
Deyeuxia,aucklandica,genus,Deyeuxia,trichodonta,KX873465.1,"NMNH:3277014 (P.M. Peterson, C.R. Annable, S. Laegaard, R.J. Soreng & F. Rojas-Ponce 12960)",945
Deyeuxia,avenoides,genus,Deyeuxia,viridiflavescens,KX873474.1,"NMNH:3486684 (L. Scur 1150)",943
Imperata,cheesemanii,genus,Imperata,cylindrica,KF163738.1,"HCCN-PJ008548-PB-75",1029
Deyeuxia,lacustris,genus,Deyeuxia,vicunarum,KX873469.1,"NMNH:3423064 (P.M. Peterson & N. Refulio-Rodriguez 13824)",942
Deyeuxia,quadriseta,genus,Deyeuxia,violacea,KX873470.1,"NMNH:3264869 (P.M. Peterson, R.J. Soreng & S. Laegaard 13202)",940
Deyeuxia,youngii,genus,Deyeuxia,glacialis,KX873426.1,"NMNH:3279308 (P.M. Peterson, C.R. Annable, S. Laegaard & R.J. Soreng 12608)",940
Elymus,apricus,genus,Elymus,tsukushiensis,KF713130.1,"HCCN-PJ008548-PB-182",1014
Elymus,enysii,extracted,Stenostachys,enysii,HM770805.1,"H3153",820
Elymus,tenuis,genus,Elymus,repens,KF713125.1,"HCCN-PJ008548-PB-184",1014
Festuca,actae,genus,Festuca,rubra,JX438106.1,"UZ 150.07",1223
Festuca,callieri,genus,Festuca,gautieri,JX438099.1,"UZ 152.07",1229
Festuca,coxii,genus,Festuca,ovina,JX438104.1,"M ller 6879",1232
Festuca,deflexa,genus,Festuca,capillifolia,JX438102.1,"UZ 179.07",1234
Festuca,heteromalla,genus,Festuca,abyssinica,JX438107.1,"MHU 1566",1240
Festuca,luciarum,genus,Festuca,indigesta,JX438105.1,"UZ 212.07",1240
Festuca,madida,genus,Festuca,elegans,JX438098.1,"UZ 231.07",1249
Festuca,matthewsii,genus,Festuca,eskia,JX438100.1,"Catalan-Mirones Feski1",974
Festuca,nigrescens,genus,Festuca,iberica,KJ529397.1,"UZ 218.07",969
Festuca,novae-zelandiae,genus,Festuca,agustinii,KJ529396.1,"PC2002, UZ",969
Festuca,pallens,genus,Festuca,longiauriculata,KJ529390.1,"UZ 59.2000",969
Festuca,pseudodalmatica,genus,Festuca,donax,KJ529376.1,"MS4515",969
Festuca,rupicola,genus,Festuca,drymeja,KJ529375.1,"LEI1",969
Festuca,trichophylla,genus,Festuca,lasto,KJ529374.1,"UZ 146.07",969
Festuca,ultramafica,genus,Festuca,scariosa,KJ529373.1,"UZ 219.07",969
Festuca,vaginata,genus,Festuca,nevadensis,KJ529398.1,"UZ 202.07",963
Festuca,vivipara,extracted,Festuca,vivipara,JN894537.1,,779
Hierochloe,brunonis,genus,Hierochloe,odorata,MK925755.1,"RBGE244",825
Hordeum,murinum,extracted,Hordeum,murinum,MF597431.1,"07-JMS-0936",773
Hordeum,vulgare,extracted,Hordeum,vulgare,KP210640.1,"BOP022831",888
Isachne,globosa,extracted,Isachne,globosa,KF163831.1,"HCCN-PJ008548-PB-362",1023
Koeleria,cheesemanii,genus,Koeleria,vallesiana,JX438077.1,"UZ 4.07",1243
Koeleria,glauca,genus,Koeleria,macrantha,KM538796.1,"YDK2009619",1091
Koeleria,novozelandica,genus,Koeleria,crassipes,KJ529338.1,"UZ 7.07",966
Koeleria,pseudoglauca,genus,Koeleria,castellana,KJ529337.1,"UZ 16.07",963
Koeleria,pyramidata,genus,Koeleria,capensis,KX873483.1,"NMNH:3184956 (L. Smook 2559)",903
Koeleria,riguorum,genus,Koeleria,splendens,KX873487.1,"NMNH:3555907 (R.J. Soreng, L.J. Gillespie & N. Soreng 7491)",820
Microlaena,avenacea,genus,Microlaena,stipoides,KX290988.1,"ww18960",925
Molinia,arundinacea,extracted,Molinia,caerulea,KJ204512.1,"G00199058",768
Oplismenus,hirtellus,genus,Oplismenus,undulatifolius,KF163745.1,"HCCN-PJ008548-PB-274",1023
Panicum,virgatum,extracted,Panicum,virgatum,MF597471.1,"06-JMS-0772",754
Paspalum,alcalinum,genus,Paspalum,distichum,KF163825.1,"HCCN-PJ008548-PB-326",1023
Paspalum,denticulatum,genus,Paspalum,thunbergii,KF163807.1,"HCCN-PJ008548-PB-161",1023
Paspalum,notatum,extracted,Paspalum,notatum,HM850548.1,"BM 2008/814",813
Phalaris,arundinacea,extracted,Phalaris,arundinacea,HQ593381.1,"AP482",853
Phleum,bertolonii,extracted,Phleum,pratense,FJ395422.1,"BM000954736",879
Phlomis,brevilabris,genus,Phlomis,fruticosa,HM850799.1,"BM 2008/639",819
Phlomis,viscosa,genus,Phlomis,cretica,HQ902705.1,"SA1685",808
Phragmites,australis,extracted,Phragmites,australis,LC219152.1,,789
Poa,acicularifolia,genus,Poa,infirma,JX438058.1,"UZ 37.07",1124
Poa,anceps,genus,Poa,compressa,KJ529347.1,"UZ 51.08",969
Poa,antipoda,genus,Poa,ligulata,KJ529345.1,"UZ 12.07",969
Poa,astonii,extracted,Poa,astonii,KY944620.1,"OTA:Lloyd s.n. OTA-058919",788
Poa,breviglumis,genus,Poa,annua,KJ529344.1,"WP16",969
Poa,chathamica,genus,Poa,bulbosa,KJ529342.1,"UZ 334.07",957
Poa,cita,genus,Poa,pratensis,KC475412.1,"Brunton_9826_CAN",777
Poa,colensoi,extracted,Poa,colensoi,KY944623.1,"OTA:Lloyd s.n. OTA-058923",788
Poa,dipsacea,genus,Poa,trivialis,KJ599319.1,"Neaves s.n. (MEL 2070933A)",769
Poa,foliosa,extracted,Poa,foliosa,KJ599239.1,"Shaw 4 (MEL 2311943A)",769
Poa,imbecilla,genus,Poa,poiformis,KJ599259.1,"Baker 892 (MEL 2309794A)",769
Poa,intrusa,genus,Poa,amplexicaulis,KJ599338.1,"Stajsic s.n. (MEL 2308430A)",769
Poa,kirkii,genus,Poa,affinis,KJ599337.1,"Hosking 1809 (MEL 2132957A)",769
Poa,lindsayi,genus,Poa,tenera,KJ599318.1,"Lang 2473 (MEL 2059398A)",769
Poa,litorosa,extracted,Poa,litorosa,KJ599251.1,"Seppelt 12460 (MEL 0306378A)",769
Poa,maniototo,genus,Poa,porphyroclados,KJ599291.1,"Birch 501 (MEL 2355958)",769
Poa,novae-zelandiae,genus,Poa,labillardierei,KJ599285.1,"Birch 474 (MEL 2355930A)",769
Poa,pusilla,genus,Poa,homomalla,KJ599289.1,"Birch 500 (MEL 2355957)",768
Puccinellia,andersonii,extracted,Puccinellia,andersonii,KC475538.1,"Consaul_2865-1",777
Puccinellia,angustata,extracted,Puccinellia,angustata,KC475548.1,"Gillespie_10079_CAN",777
Puccinellia,bruggemannii,extracted,Puccinellia,bruggemannii,KM523905.1,"CAN:Consaul et al. 3144-7",788
Puccinellia,phryganodes,extracted,Puccinellia,phryganodes,KM523927.1,"CAN:Gillespie et al. 9940",788
Puccinellia,pumila,genus,Puccinellia,chinampoensis,KM538798.1,"J.H.Lee 2010076",1077
Puccinellia,stricta,extracted,Puccinellia,stricta,KM523913.1,"US:Peterson et al. 14544",788
Puccinellia,walkeri,genus,Puccinellia,distans,JX438081.1,"UZ 156.07",1020
Rytidosperma,biannulare,genus,Rytidosperma,pallidum,KX290997.1,"ww20056",943
Rytidosperma,clavatum,genus,Rytidosperma,caespitosum,KX290964.1,"ww20028",931
Rytidosperma,horrens,genus,Rytidosperma,pictum,JF729141.1,"Peterson 19182, Soreng, Salariato & Panizza (US)",817
Sesleria,achtarovii,genus,Sesleria,albicans,KJ529400.1,"LEB 01",969
Sesleria,alba,genus,Sesleria,argentea,KJ529401.1,"LEB 02",969
Sesleria,albanica,genus,Sesleria,insularis,KM523920.1,"BH:Soreng 3889 (USDA 253719)",788
Sesleria,angustifolia,genus,Sesleria,autumnalis,HE966993.1,"MIB:ZPL:03100",751
Sesleria,apennina,genus,Sesleria,caerulea,JN894496.1,,1132
Spartina,×townsendii,literature,Sporobolus,x,MF597619.1,"06-JMS-0791",791
Spartina,alterniflora,genus,Sporobolus,anglicus,JN894656.1,,1132
Spartina,maritima,literature,Sporobolus,maritimus,MK926022.1,"NMW8070",790
Stenostachys,deceptorix,genus,Stenostachys,gracilis,HM770810.1,"H10624",820
Trisetum,antarcticum,genus,Trisetum,rosei,KX873542.1,"CMN:602265 (P.M. Peterson, J.M. Saarela                     & M.J. Flores Villegas 21388)",948
Trisetum,arduanum,genus,Trisetum,virletii,KX873550.1,"NMNH:3428156 (J.C. Soto Nunez, A. de Soto & F. Soto R. 7926)",933
Trisetum,drucei,genus,Trisetum,oreophilum,KX873537.1,"NMNH:3237370 (P.M. Peterson, E.J. Judziewicz, R.M. King & P. M. Jorgensen 9239)",933
Trisetum,lepidum,genus,Trisetum,irazuense,KX873535.1,"NMNH:3449765 (B. Stergios, L. J. Dorr & K. J. Wurdack 20561)",896
Trisetum,serpentinum,genus,Trisetum,palmeri,KX873539.1,"NMNH:3184578 (P.S. Hoge, M.E. Barkworth, J. Valdes-Reyna & J.A. Villareal Q. Hoge220)",883
Trisetum,spicatum,extracted,Trisetum,spicatum,MF597642.1,"04-PMP-18457",819
Trisetum,tenellum,genus,Trisetum,flavescens,KJ204553.1,"G00199181",824
Triticum,aestivum,extracted,Triticum,aestivum,KP210655.1,"BOP022871",891
Triticum,turgidum,extracted,Triticum,turgidum,EU013198.1,"189",1157
Zoysia,minima,genus,Zoysia,japonica,KM538803.1,"YDK2009720",1091
Zoysia,pauciflora,genus,Zoysia,sinica,KP057004.1,"HCCN-PJ008548-PB-375",1020
Asplenium,ceterach,genus,Asplenium,septentrionale,JF832254.1,"Larsson 11 (UPS)",911
Asplenium,trichomanes,genus,Asplenium,theciferum,JF832255.1,"Schuettpelz 258 (DUKE)",892
Pteridium,aquilinum,extracted,Pteridium,aquilinum,FR865060.1,"MIB:Zpl:02811",818
Adiantum,capillus-veneris,genus,Adiantum,tenerum,KJ605553.1,"Kuo3930 (TAIF)",1239
Pteris,vittata,extracted,Pteris,vittata,MF972799.1,"C. J. Rothfels 4016 (DUKE)",902
Berberis,libanotica,genus,Berberis,bealei,DQ478617.1,"Chen et al. 960046",1215
Chelidonium,majus,extracted,Chelidonium,majus,KP715387.1,"Damerval s.n. (Ferme du Moulon, Gif-sur-Yvette, France)",1210
Glaucium,leiocarpum,genus,Glaucium,flavum,JN895979.1,,822
Hypecoum,imberbe,genus,Hypecoum,pendulum,KP715398.1,"Pyke s.n. (Aragon, Spain)",1216
Papaver,rhoeas,extracted,Papaver,rhoeas,FJ626525.1,"Wang Wei YN100",1215
Aconitum,vulparia,literature,Aconitum,lycoctonum,FN668830.1,"MIB:zpl:01676",781
Anemone,blanda,genus,Anemone,hupehensis,FJ626488.1,"Wang Wei 002",1212
Anemone,nemorosa,extracted,Anemone,nemorosa,JN895407.1,,869
Caltha,leptosepala,extracted,Caltha,leptosepala,KU662874.1,"Chen Z-D CL111 (PE)",1215
Clematis,vitalba,extracted,Clematis,vitalba,KX229864.1,"OMHC26M",842
Delphinium,pentagynum,genus,Delphinium,bonvalotii,FJ626497.1,"Wang Wei 030",1215
Epimedium,alpinum,extracted,Epimedium,alpinum,AB069838.1,,1224
Ficaria,grandiflora,literature,Ficaria,verna,MK520101.1,"v0220167WIS",785
Helleborus,lividus,extracted,Helleborus,lividus,AJ414323.1,"McLewin K3, K",866
Helleborus,odorus,extracted,Helleborus,odorus,AJ414330.1,"McLewin K10, K",881
Ranunculus,carpaticola,genus,Ranunculus,cortusifolius,KF468508.1,"BM:K. Jones 169",974
Morus,acidosa,literature,Morus,australis,GU145559.1,"ME-0158",817
Morus,alba,extracted,Morus,alba,MH187248.1,"PSRU-MOR009",830
Morus,bombycis,extracted,Morus,bombycis,GU145560.1,"Kenmochi",817
Morus,indica,extracted,Morus,indica,GU145570.1,"Bilidevalaya",817
Morus,latifolia,genus,Morus,rubra,KC539613.1,"FLAS:J. R. Abbott 25358",840
Morus,rotundiloba,extracted,Morus,rotundiloba,GU145564.1,"ME-0095",817
Frangula,alnus,extracted,Frangula,alnus,EU749373.1,"OAC:JAG265",895
Rhamnus,cathartica,extracted,Rhamnus,cathartica,EU749372.1,"OAC:RBGB42",799
Rhamnus,ludovici-salvatoris,genus,Rhamnus,utilis,JF317432.1,"S.D. Zhang 090890",1002
Amelanchier,alnifolia,extracted,Amelanchier,alnifolia,KX677193.1,"ERM1610",803
Amelanchier,amabilis,literature,Amelanchier,sanguinea,MG220910.1,"MT00186360",794
Amelanchier,asiatica,genus,Amelanchier,spicata,KP210358.1,"TJD-211",790
Amelanchier,bartramiana,extracted,Amelanchier,bartramiana,MG220986.1,"MLTV16",775
Amelanchier,"erecta",genus,Amelanchier,laevis,HQ593165.1,"AP442",782
Aruncus,dioicus,extracted,Aruncus,dioicus,KP210361.1,"TJD-246",811
Crataegus,aemula,extracted,Crataegus,aemula,KC250986.1,"TRT014",774
Crataegus,aestivalis,genus,Crataegus,monogyna,KC173398.1,"EL-79 (TRT)",787
Crataegus,arnoldiana,genus,Crataegus,rivulopugnensis,KC251132.1,"TRT154",777
Crataegus,ashei,extracted,Crataegus,ashei,KC250998.1,"TRT110",777
Crataegus,brachyacantha,extracted,Crataegus,brachyacantha,KC251003.1,"TRT219",777
Crataegus,calpodendron,extracted,Crataegus,calpodendron,MK519960.1,"v0149751WIS",786
Crataegus,castlegarensis,extracted,Crataegus,castlegarensis,KC173389.1,"C-2003-23F (TRT)",787
Crataegus,chrysocarpa,extracted,Crataegus,chrysocarpa,MK519961.1,"v0089315WIS",782
Crataegus,collina,literature,Crataegus,punctata,MG220739.1,"MT00179950",800
Crataegus,compacta,genus,Crataegus,rivularis,KC251128.1,"TRT164",777
Crataegus,crus-galli,extracted,Crataegus,crus-galli,KC251023.1,"TRT252",776
Crataegus,douglasii,extracted,Crataegus,douglasii,KC173397.1,"2010-36 (TRT)",787
Crataegus,enderbyensis,extracted,Crataegus,enderbyensis,KC251049.1,"TRT149",777
Crataegus,grandis,genus,Crataegus,cupressocollina,KC251026.1,"TRT163",776
Crataegus,harbisoniixcollina,genus,Crataegus,aquacervensis,KC250995.1,"TRT162",774
Crataegus,laevigata,extracted,Crataegus,laevigata,KJ506863.1,"Cr-ox-03",870
Crataegus,lassa,extracted,Crataegus,lassa,KC251077.1,"TRT254",770
Crataegus,macracantha,extracted,Crataegus,macracantha,HQ593252.1,"AP444",782
Crataegus,macrosperma,extracted,Crataegus,macrosperma,KP210379.1,"TJD-386",763
Crataegus,marshallii,genus,Crataegus,mollis,KP050200.1,"CCDB-18301-A10",770
Crataegus,okennonii,extracted,Crataegus,okennonii,KC173400.1,"JC281 (TRT)",787
Crataegus,opaca,genus,Crataegus,russanovii,KC251133.1,"TRT053",751
Crataegus,phippsii,extracted,Crataegus,phippsii,KP050168.1,"CCDB-18301-E4",767
Crataegus,pruinosa,extracted,Crataegus,pruinosa,MK519967.1,"v0089161WIS",782
Crataegus,saligna,extracted,Crataegus,saligna,KC251135.1,"TRT131",774
Crataegus,shuswapensis,extracted,Crataegus,shuswapensis,KC173393.1,"2007-11 (TRT)",787
Crataegus,spathulata,extracted,Crataegus,spathulata,KC251142.1,"TRT058",777
Crataegus,succulenta,extracted,Crataegus,succulenta,MK519969.1,"v0091473WIS",785
Crataegus,suksdorfii,extracted,Crataegus,suksdorfii,KC173399.1,"JC296 (TRT)",787
Crataegus,triflora,extracted,Crataegus,triflora,KC251162.1,"TRT115",777
Crataegus,uniflora,extracted,Crataegus,uniflora,KC251170.1,"TRT123",766
Crataegus,viridis,extracted,Crataegus,viridis,KC251172.1,"TRT130",776
Filpendula,hexapetala,literature,Filipendula,vulgaris,MH593726.1,,921
Fragaria,xananassa,literature,Fragaria,x,JX117907.1,,834
Fragaria,bucharica,extracted,Fragaria,bucharica,JX117909.1,,834
Fragaria,cascadensis,genus,Fragaria,virginiana,JN966307.1,"09PROBE-05003",768
Fragaria,chiloensis,extracted,Fragaria,chiloensis,KX677569.1,"MF173",804
Fragaria,chinensis,extracted,Fragaria,chinensis,JX117913.1,,834
Fragaria,corymbosa,extracted,Fragaria,corymbosa,JX117917.1,,834
Fragaria,daltoniana,extracted,Fragaria,daltoniana,JX117916.1,,834
Fragaria,gracilis,extracted,Fragaria,gracilis,JX117918.1,,834
Fragaria,iinumae,extracted,Fragaria,iinumae,JX117919.1,,834
Fragaria,iturupensis,extracted,Fragaria,iturupensis,JX117906.1,,834
Fragaria,mandshurica,genus,Fragaria,vesca,HQ619833.1,,825
Fragaria,moupinensis,extracted,Fragaria,moupinensis,JX117914.1,,834
Fragaria,nilgerrensis,extracted,Fragaria,nilgerrensis,JX117911.1,,834
Fragaria,nipponica,extracted,Fragaria,nipponica,JX117912.1,,834
Fragaria,orientalis,extracted,Fragaria,orientalis,MH659557.1,"Q107",782
Fragaria,tibetica,extracted,Fragaria,tibetica,JX117915.1,,834
Fragaria,viridis,extracted,Fragaria,viridis,JX117910.1,,834
Malus,fusca,genus,Malus,pumila,HQ593358.1,"AP019",869
Malus,ioensis,extracted,Malus,ioensis,MK520301.1,"v0182181WIS",779
Malus,"Jonagold",genus,Malus,micromalus,GU363779.1,"PS1122MT01",860
Malus,kansuensis,extracted,Malus,kansuensis,MH659672.1,"Q233",785
Malus,"Liberty",genus,Malus,baccata,GU363775.1,"PS1107MT01",860
Mespilus,canescens,literature,Crataegus,x,KC251008.1,"TRT083",777
Mespilus,germanica,extracted,Mespilus,germanica,MK925958.1,"NMW8134",815
Polylepis,australis,genus,Polylepis,tarapacana,EU914268.1,,1079
Potentilla,alba,genus,Potentilla,egedei,JN966455.1,"09PROBE-05224",768
Potentilla,crantzii,extracted,Potentilla,crantzii,JN896011.1,,814
Prunus,"Adham hmém",genus,Prunus,armeniaca,KP089844.1,"Q17.2",883
Prunus,"Ain tasstouria",genus,Prunus,salicina,KX238397.1,,798
Prunus,mahaleb,extracted,Prunus,mahaleb,HQ235185.1,,778
Pyrus,communis,extracted,Pyrus,communis,JN895841.1,,811
Rubia,balearica,genus,Rubia,alata,MH659794.1,"Q370",788
Rubia,caespitosa,genus,Rubia,cordifolia,MH660051.1,"Q655",786
Rubus,alceifolius,genus,Rubus,parvifolius,AB073699.1,,1169
Sanguisorba,minor,extracted,Sanguisorba,minor,HM850691.1,"BM 2008/568",804
Sorbus,aucuparia,extracted,Sorbus,aucuparia,KX230012.1,"OMHD28M",839
Sorbus,flabellifolia,genus,Sorbus,discolor,GU363750.1,"PS1064MT01",860
Sorbus,torminalis,extracted,Sorbus,torminalis,JN895323.1,,842
Ulmus,glabra,extracted,Ulmus,glabra,KX230024.1,"OMHA17M",842
Urtica,artrovirens,genus,Urtica,urens,KJ204555.1,"G00199150",839
Pistacia,lentiscus,extracted,Pistacia,lentiscus,KM527361.1,"17-PMF-JC-017",800
Pistacia,palaestina,genus,Pistacia,chinensis,MH658809.1,"XA004",839
Acer,campestre,extracted,Acer,campestre,KU549936.1,"Aca_1522",844
Acer,obtusifolium,genus,Acer,nipponicum,AB872520.1,,783
Acer,pseudoplatanus,extracted,Acer,pseudoplatanus,KU550019.1,"Aps_1125",832
Acer,tataricum,extracted,Acer,tataricum,MH659555.1,"Q105",850
Saxifraga,oppositifolia,extracted,Saxifraga,oppositifolia,MK926388.1,"YW1",925
Convolvulus,coelesyriacus,genus,Convolvulus,arvensis,MG946999.1,"ISL",906
Ipomoea,stolonifera,genus,Ipomoea,mauritiana,AY491651.1,"Chase 2525 (K)",1088
Convolvulus,secundus,genus,Convolvulus,simulans,MF963435.1,"UC1787489",904
